Level Edit Preset Export.  Class ID: 12304


Name	Preset ID	Health	HealthMax	Skin	ShieldStrength	ShieldStrengthMax	Shield Type	DamagePoints	DeathPoints	InfoIconTextureFilename	Encyclopedia Type	PlayerType	EncyclopediaID	NotTargetable	BullseyeOffsetZ	Radar Blip Type	Animation	DefaultHibernationEnable	AllowInnateConversations	UseCreationEffect	Orator Type	WeaponTiltRate	WeaponTiltMin	WeaponTiltMax	WeaponTurnRate	WeaponTurnMin	WeaponTurnMax	WeaponError	WeaponRounds	SightRange	SightArc	ListenerScale	IsStealthUnit	TypeName	Fire0Anim	Fire1Anim	Profile	TurnRadius	SquishVelocity	Aim2D	Type	OccupantsVisible	EngineSoundMaxPitchFactor	SightDownMuzzle	NumSeats	CanBeStolen	AllowStealthWhileEmpty	
GDI Vehicles	1000000001	100.000000	100.000000	0	0.000000	0.000000	0	0.000000	0.000000		-1	-2	0	0	0.000000	0		1	0	0	999	0.999899	-9999.999023	9999.999023	0.999899	-9999.999023	9999.999023	0.000000	-1	0.000000	0.000000	1.000000	0					10.000000	1.500000	1	0	1	2.000000	0	2	0	0	
Nod Vehicles	1000000003	100.000000	100.000000	0	0.000000	0.000000	0	0.000000	0.000000		-1	-2	0	0	0.000000	0		1	0	0	999	0.999899	-9999.999023	9999.999023	0.999899	-9999.999023	9999.999023	0.000000	-1	0.000000	0.000000	1.000000	1					10.000000	1.500000	1	0	1	2.000000	0	2	0	0	
Vehicle_Allied_Light_Tank_Snow	82080072	300.000000	300.000000	49	300.000000	300.000000	27	0.000000	35.000000	always\hud\targeting\vehicles\i_apc.tga	2	1	9	0	1.000000	2		1	0	0	999	5.759587	-0.261799	0.785398	5.759587	-17453.275391	17453.275391	0.872665	-1	20.000000	6.280000	1.000000	0				APC	15.000000	3.000000	1	1	0	1.400000	0	1	1	0	
Vehicle_Allied_Light_Tank_Urban	82080071	300.000000	300.000000	49	300.000000	300.000000	27	0.000000	35.000000	always\hud\targeting\vehicles\i_apc.tga	2	1	9	0	1.000000	2		1	0	0	999	5.759587	-0.261799	0.785398	5.759587	-17453.275391	17453.275391	0.872665	-1	20.000000	6.280000	1.000000	0				APC	15.000000	3.000000	1	1	0	1.400000	0	1	1	0	
Vehicle_Allied_Light_Tank_Desert	82080070	300.000000	300.000000	49	300.000000	300.000000	27	0.000000	35.000000	always\hud\targeting\vehicles\i_apc.tga	2	1	9	0	1.000000	2		1	0	0	999	5.759587	-0.261799	0.785398	5.759587	-17453.275391	17453.275391	0.872665	-1	20.000000	6.280000	1.000000	0				APC	15.000000	3.000000	1	1	0	1.400000	0	1	1	0	
Vehicle_Soviet_Heavy_Tank_Snow	82080069	425.000000	425.000000	50	425.000000	425.000000	28	0.000000	45.000000	always\hud\targeting\vehicles\i_medium_tank.tga	2	0	15	0	1.000000	2		1	0	0	999	1.745329	-0.261799	0.785398	4.712389	-2.373648	2.373648	0.872665	-1	0.000000	6.283185	1.000000	0				Medium_Tank	0.000000	2.000000	1	1	0	2.000000	0	1	1	0	
Vehicle_Soviet_Heavy_Tank_Urban	82080068	425.000000	425.000000	50	425.000000	425.000000	28	0.000000	45.000000	always\hud\targeting\vehicles\i_medium_tank.tga	2	0	15	0	1.000000	2		1	0	0	999	1.745329	-0.261799	0.785398	4.712389	-2.373648	2.373648	0.872665	-1	0.000000	6.283185	1.000000	0				Medium_Tank	0.000000	2.000000	1	1	0	2.000000	0	1	1	0	
Vehicle_Soviet_Heavy_Tank_Desert	82080067	425.000000	425.000000	50	425.000000	425.000000	28	0.000000	45.000000	always\hud\targeting\vehicles\i_medium_tank.tga	2	0	15	0	1.000000	2		1	0	0	999	1.745329	-0.261799	0.785398	4.712389	-2.373648	2.373648	0.872665	-1	0.000000	6.283185	1.000000	0				Medium_Tank	0.000000	2.000000	1	1	0	2.000000	0	1	1	0	
Allied_AA_Gun_Repair	82080066	188.000000	188.000000	0	0.000000	0.000000	0	0.000000	0.000000	always\hud\targeting\people\i_nod_trooper.tga	0	1	0	1	0.000000	0		1	0	0	999	1.047198	-0.785398	1.588250	2.094395	-9999.999023	9999.999023	0.000000	-1	1.000000	0.017453	1.000000	0				Turret	0.000000	5.000000	0	4	0	2.000000	0	0	0	0	
Allied_GapGenerator_Repair	82080065	300.000000	300.000000	0	0.000000	0.000000	0	0.000000	0.000000	always\hud\targeting\people\i_nod_trooper.tga	0	1	0	1	0.000000	0		0	0	0	999	87.266464	-1.570796	1.396263	87.266464	-8726.646484	8726.646484	0.000000	-1	1.000000	0.017453	1.000000	0				Turret	0.000000	5.000000	0	4	0	2.000000	0	0	0	0	
Allied_Ore_Silo_Repair	82080064	375.000000	375.000000	0	0.000000	0.000000	0	0.000000	0.000000		0	1	0	1	0.000000	0		1	0	0	999	1.000074	-9999.999023	9999.999023	1.000074	-9999.999023	9999.999023	0.872665	-1	0.000000	0.000000	1.000000	0				Turret	0.000000	5.000000	0	4	0	2.000000	0	0	0	0	
Allied_Pillbox_Repair	82080063	163.000000	163.000000	0	0.000000	0.000000	0	0.000000	0.000000	always\hud\targeting\people\i_nod_trooper.tga	0	1	0	1	0.000000	0		1	0	0	999	1.000074	-0.785398	0.785398	8.726646	-9999.999023	9999.999023	0.001745	-1	1.000000	0.017453	1.000000	0				Turret	0.000000	5.000000	0	4	0	2.000000	0	0	0	0	
Allied_Turret_Repair	82080062	312.500000	312.500000	0	0.000000	0.000000	0	0.000000	0.000000	always\hud\targeting\objects\i_turret.tga	0	1	0	1	1.000000	0		0	0	0	999	8.726646	-0.436332	0.610865	3.141593	-9999.999023	9999.999023	0.006109	-1	1.000000	0.017453	1.000000	0				Turret	0.000000	5.000000	0	4	0	2.000000	0	0	0	0	
Soviet_Ore_Silo_Repair	82080061	375.000000	375.000000	0	0.000000	0.000000	0	0.000000	0.000000		0	0	0	1	0.000000	0		1	0	0	999	1.000074	-9999.999023	9999.999023	1.000074	-9999.999023	9999.999023	0.872665	-1	0.000000	0.000000	1.000000	0				Turret	0.000000	5.000000	0	4	0	2.000000	0	0	0	0	
Soviet_Flame_Tower_Repair	82080060	187.500000	187.500000	0	0.000000	0.000000	0	0.000000	0.000000		0	0	0	0	0.000000	0		1	0	0	999	1.570796	-1.060288	1.496620	1.570796	-9999.999023	9999.999023	0.017453	-1	1.000000	0.017453	1.000000	0				Turret	0.000000	5.000000	0	4	0	2.000000	0	0	0	0	
Soviet_SAM_Site_Repair	82080059	187.500000	187.500000	63	0.000000	0.000000	0	0.000000	0.000000		0	0	0	1	0.000000	0		1	0	0	999	1.047198	-0.785398	1.570796	2.094395	-9999.999023	9999.999023	0.000000	-1	1.000000	0.017453	2.000000	0				Turret	0.000000	5.000000	0	4	0	2.000000	0	0	0	0	
Soviet_Tesla_Coil_Repair	82080058	250.000000	250.000000	0	0.000000	0.000000	0	0.000000	0.000000		0	0	0	0	0.000000	0		0	0	0	999	87.266464	-1.570796	1.396263	87.266464	-8726.646484	8726.646484	0.000000	-1	1.000000	0.017453	0.100000	0				Turret	0.000000	5.000000	0	4	0	1.000000	0	0	0	0	
Civ_Cannon_Dest	82080057	400.000000	400.000000	32	0.000000	0.000000	0	0.000000	0.000000		-1	-2	0	0	0.000000	3		1	0	0	999	0.087266	0.000000	0.436332	0.174533	-9999.999023	9999.999023	0.000000	-1	600.000000	6.283185	1.000000	0				Hind_Gunship	10.000000	1.500000	1	4	0	2.000000	0	1	0	0	
Civ_Cannon	82080050	400.000000	400.000000	32	0.000000	0.000000	0	0.000000	0.000000		-1	-2	0	0	0.000000	3		1	0	0	999	0.087266	0.000000	0.436332	0.174533	-9999.999023	9999.999023	0.000000	-1	600.000000	6.283185	1.000000	0				Hind_Gunship	10.000000	1.500000	1	4	0	2.000000	0	1	0	0	
Vehicle_Allied_Chrono_Tank_Shifted	82080049	400.000000	400.000000	1	400.000000	400.000000	1	0.000000	0.000000	always\hud\targeting\vehicles\i_apache.tga	2	1	20	0	1.000000	2		1	0	0	999	3.141593	-1.308997	0.000000	3.141593	-9999.999023	9999.999023	0.000000	0	50.000000	6.283185	1.000000	0				Longbow	15.000000	90000.000000	1	3	0	1.200000	0	1	1	0	
Vehicle_Allied_Chrono_Tank	82080047	300.000000	300.000000	49	300.000000	300.000000	27	0.000000	75.000000	always\hud\targeting\vehicles\i_medium_tank.tga	2	1	15	0	1.000000	2		1	0	0	999	2.094395	-0.261799	0.785398	1.570796	-9999.999023	9999.999023	0.872665	-1	50.000000	6.280000	1.000000	0				Medium_Tank	0.000000	2.000000	1	1	0	2.000000	0	1	1	0	
Invisible Murder Vehicle	82080022	100.000000	100.000000	1	0.000000	0.000000	1	1.000000	0.000000	always\hud\targeting\people\i_nod_trooper.tga	3	-2	0	0	0.000000	0		1	0	0	999	1.000074	-9999.999023	9999.999023	1.000074	-9999.999023	9999.999023	0.872665	-1	0.000000	0.000000	1.000000	0					0.000000	5.000000	0	0	1	2.000000	0	2	0	0	
InvisMarker	82080045	1.000000	1.000000	1	0.000000	0.000000	1	1.000000	0.000000		2	0	0	1	0.000000	2		1	0	0	999	1.000074	-9999.999023	9999.999023	1.000074	-9999.999023	9999.999023	0.872665	-1	0.000000	0.000000	1.000000	0					0.000000	0.000000	0	0	0	0.000000	0	0	0	0	
Allied_Ore_Silo_Dead	82080041	300.000000	300.000000	1	0.000000	0.000000	0	1.000000	50.000000	always\hud\targeting\people\i_nod_trooper.tga	3	1	0	1	0.000000	3		1	0	0	999	1.000074	-9999.999023	9999.999023	1.000074	-9999.999023	9999.999023	0.872665	-1	0.000000	0.000000	1.000000	0				Turret	0.000000	5.000000	0	4	0	2.000000	0	0	0	0	
Soviet_Ore_Silo_Dead	82080040	300.000000	300.000000	1	0.000000	0.000000	0	1.000000	49.969997		3	0	0	1	0.000000	3		1	0	0	999	1.000074	-9999.999023	9999.999023	1.000074	-9999.999023	9999.999023	0.872665	-1	0.000000	0.000000	1.000000	0				Turret	0.000000	5.000000	0	0	0	2.000000	0	0	0	0	
Allied_GapGenerator_Dead	82080039	200.000000	200.000000	1	0.000000	0.000000	1	0.000000	250.000000	always\hud\targeting\people\i_nod_trooper.tga	3	1	0	1	0.000000	0		0	0	0	999	87.266464	-1.570796	1.396263	87.266464	-8726.646484	8726.646484	0.000000	-1	230.000000	6.283185	1.000000	0				Turret	0.000000	5.000000	0	4	1	2.000000	1	1	0	0	
Soviet_Tesla_Coil_Dead	82080035	200.000000	200.000000	1	0.000000	0.000000	1	0.000000	250.000000		3	0	0	1	0.000000	0		0	0	0	999	87.266464	-1.570796	1.396263	87.266464	-8726.646484	8726.646484	0.000000	-1	230.000000	6.283185	1.000000	0				Turret	0.000000	5.000000	0	4	1	2.000000	1	1	0	0	
Vehicle_Allied_Apache_Snow	82080034	200.000000	200.000000	42	200.000000	200.000000	42	0.000000	55.000000	always\hud\targeting\vehicles\i_apache.tga	2	1	20	0	1.000000	2		1	0	0	999	3.141593	-1.308997	0.000000	3.141593	-9999.999023	9999.999023	0.000000	6	50.000000	6.280000	1.000000	0				Longbow	15.000000	90000.000000	1	3	0	1.200000	0	1	1	0	
Vehicle_Allied_APC_Forest	82080033	300.000000	300.000000	49	300.000000	300.000000	27	0.000000	35.000000	always\hud\targeting\vehicles\i_apc.tga	2	1	9	0	1.000000	2		1	0	0	999	6.283185	-0.349066	1.570796	6.283185	-6283.185547	6283.185547	0.872665	-1	20.000000	6.280000	1.000000	0				APC	15.000000	3.000000	1	1	0	1.400000	0	5	1	0	
Vehicle_Allied_APC_Snow	82080032	300.000000	300.000000	49	300.000000	300.000000	27	0.000000	35.000000	always\hud\targeting\vehicles\i_apc.tga	2	1	9	0	1.000000	2		1	0	0	999	6.283185	-0.349066	1.570796	6.283185	-6283.185547	6283.185547	0.872665	-1	20.000000	6.280000	1.000000	0				APC	15.000000	3.000000	1	1	0	1.400000	0	5	1	0	
Vehicle_Allied_APC_Desert	82080031	300.000000	300.000000	49	300.000000	300.000000	27	0.000000	35.000000	always\hud\targeting\vehicles\i_apc.tga	2	1	9	0	1.000000	2		1	0	0	999	6.283185	-0.349066	1.570796	6.283185	-6283.185547	6283.185547	0.872665	-1	20.000000	6.280000	1.000000	0				APC	15.000000	3.000000	1	1	0	1.400000	0	5	1	0	
Civ_Enfield_Mine	82080028	40.000000	40.000000	1	0.000000	0.000000	0	0.000000	0.000000		3	-3	0	1	0.000000	0		1	0	0	999	1.000074	-9999.999023	9999.999023	1.000074	-9999.999023	9999.999023	0.000000	-1	6.000000	6.283185	1.000000	1					0.000000	5.000000	0	1	0	0.000000	0	0	0	0	
Civ_AP_Mine	82080027	40.000000	40.000000	1	0.000000	0.000000	0	0.000000	0.000000		3	-3	0	1	0.000000	0		1	0	0	999	1.000074	-9999.999023	9999.999023	1.000074	-9999.999023	9999.999023	0.000000	0	6.000000	6.283185	1.000000	1					0.000000	5.000000	0	1	0	0.000000	0	0	0	0	
